purchaseorderid;purchaseorderdetailid;duedate;orderqty;productid;unitprice;receivedqty;rejectedqty;modifieddate
14.0;32.0;2011-12-28 00:00:00.000;3.0;504.0;48.762;3.0;3.0;2011-12-21 00:00:00.000
15.0;33.0;2011-12-28 00:00:00.000;3.0;497.0;34.188;3.0;0.0;2011-12-21 00:00:00.000
16.0;34.0;2011-12-28 00:00:00.000;3.0;323.0;50.2635;3.0;0.0;2011-12-21 00:00:00.000
17.0;35.0;2011-12-29 00:00:00.000;550.0;523.0;10.731;550.0;0.0;2011-12-22 00:00:00.000
17.0;36.0;2011-12-29 00:00:00.000;550.0;524.0;14.1225;550.0;0.0;2011-12-22 00:00:00.000
18.0;37.0;2011-12-29 00:00:00.000;60.0;492.0;50.2635;60.0;0.0;2011-12-22 00:00:00.000
18.0;38.0;2011-12-29 00:00:00.000;60.0;493.0;57.1515;60.0;0.0;2011-12-22 00:00:00.000
18.0;39.0;2011-12-29 00:00:00.000;60.0;494.0;53.2035;60.0;0.0;2011-12-22 00:00:00.000
18.0;40.0;2011-12-29 00:00:00.000;60.0;495.0;63.693;60.0;0.0;2011-12-22 00:00:00.000
18.0;41.0;2011-12-29 00:00:00.000;60.0;496.0;48.909;60.0;0.0;2011-12-22 00:00:00.000
19.0;42.0;2011-12-29 00:00:00.000;550.0;908.0;21.0945;550.0;0.0;2011-12-22 00:00:00.000
19.0;43.0;2011-12-29 00:00:00.000;550.0;909.0;30.4395;550.0;0.0;2011-12-22 00:00:00.000
19.0;44.0;2011-12-29 00:00:00.000;550.0;910.0;40.9395;550.0;0.0;2011-12-22 00:00:00.000
19.0;45.0;2011-12-29 00:00:00.000;550.0;911.0;21.0945;550.0;0.0;2011-12-22 00:00:00.000
19.0;46.0;2011-12-29 00:00:00.000;550.0;912.0;30.4395;550.0;0.0;2011-12-22 00:00:00.000
20.0;47.0;2011-12-29 00:00:00.000;60.0;506.0;9.198;60.0;0.0;2011-12-22 00:00:00.000
21.0;48.0;2011-12-29 00:00:00.000;550.0;351.0;5.775;550.0;0.0;2011-12-22 00:00:00.000
21.0;49.0;2011-12-29 00:00:00.000;550.0;352.0;1.155;550.0;0.0;2011-12-22 00:00:00.000
21.0;50.0;2011-12-29 00:00:00.000;550.0;679.0;5.775;550.0;27.0;2011-12-22 00:00:00.000
22.0;51.0;2011-12-29 00:00:00.000;550.0;507.0;23.394;550.0;82.0;2011-12-22 00:00:00.000
22.0;52.0;2011-12-29 00:00:00.000;550.0;508.0;27.6465;550.0;0.0;2011-12-22 00:00:00.000
23.0;53.0;2011-12-29 00:00:00.000;550.0;355.0;1.365;550.0;0.0;2011-12-22 00:00:00.000
23.0;54.0;2011-12-29 00:00:00.000;550.0;940.0;62.9895;550.0;0.0;2011-12-22 00:00:00.000
23.0;55.0;2011-12-29 00:00:00.000;550.0;535.0;3.486;550.0;0.0;2011-12-22 00:00:00.000
24.0;56.0;2011-12-29 00:00:00.000;550.0;351.0;6.195;550.0;550.0;2011-12-22 00:00:00.000
24.0;57.0;2011-12-29 00:00:00.000;550.0;352.0;1.47;550.0;550.0;2011-12-22 00:00:00.000
25.0;58.0;2011-12-29 00:00:00.000;550.0;507.0;22.1655;550.0;0.0;2011-12-22 00:00:00.000
25.0;59.0;2011-12-29 00:00:00.000;550.0;508.0;29.2845;523.0;0.0;2011-12-22 00:00:00.000
26.0;60.0;2011-12-29 00:00:00.000;3.0;491.0;19.9815;3.0;0.0;2011-12-22 00:00:00.000
27.0;61.0;2011-12-29 00:00:00.000;3.0;341.0;41.1705;3.0;0.0;2011-12-22 00:00:00.000
27.0;62.0;2011-12-29 00:00:00.000;3.0;342.0;39.0705;3.0;0.0;2011-12-22 00:00:00.000
27.0;63.0;2011-12-29 00:00:00.000;3.0;343.0;43.344;3.0;0.0;2011-12-22 00:00:00.000
27.0;64.0;2011-12-29 00:00:00.000;3.0;344.0;39.0705;3.0;0.0;2011-12-22 00:00:00.000
27.0;65.0;2011-12-29 00:00:00.000;3.0;345.0;36.9705;3.0;0.0;2011-12-22 00:00:00.000
27.0;66.0;2011-12-29 00:00:00.000;3.0;346.0;41.244;3.0;0.0;2011-12-22 00:00:00.000
28.0;67.0;2011-12-29 00:00:00.000;550.0;935.0;31.4895;550.0;0.0;2011-12-22 00:00:00.000
28.0;68.0;2011-12-29 00:00:00.000;550.0;936.0;48.2895;550.0;0.0;2011-12-22 00:00:00.000
29.0;69.0;2012-01-22 00:00:00.000;3.0;375.0;43.344;3.0;0.0;2012-01-15 00:00:00.000
29.0;70.0;2012-01-22 00:00:00.000;3.0;376.0;39.0705;3.0;0.0;2012-01-15 00:00:00.000
29.0;71.0;2012-01-22 00:00:00.000;3.0;377.0;36.9705;3.0;0.0;2012-01-15 00:00:00.000
29.0;72.0;2012-01-22 00:00:00.000;3.0;378.0;41.244;3.0;0.0;2012-01-15 00:00:00.000
29.0;73.0;2012-01-22 00:00:00.000;3.0;379.0;36.9705;3.0;0.0;2012-01-15 00:00:00.000
30.0;74.0;2012-01-22 00:00:00.000;550.0;476.0;15.8865;550.0;0.0;2012-01-15 00:00:00.000
30.0;75.0;2012-01-22 00:00:00.000;550.0;477.0;11.6655;550.0;55.0;2012-01-15 00:00:00.000
30.0;76.0;2012-01-22 00:00:00.000;550.0;478.0;11.088;550.0;0.0;2012-01-15 00:00:00.000
31.0;77.0;2012-01-22 00:00:00.000;3.0;402.0;47.4705;3.0;0.0;2012-01-15 00:00:00.000
32.0;78.0;2012-01-22 00:00:00.000;550.0;510.0;23.079;550.0;82.0;2012-01-15 00:00:00.000
32.0;79.0;2012-01-22 00:00:00.000;550.0;511.0;29.274;550.0;0.0;2012-01-15 00:00:00.000
33.0;80.0;2012-01-30 00:00:00.000;3.0;403.0;45.3705;3.0;0.0;2012-01-23 00:00:00.000
33.0;81.0;2012-01-30 00:00:00.000;3.0;404.0;49.644;3.0;0.0;2012-01-23 00:00:00.000
33.0;82.0;2012-01-30 00:00:00.000;3.0;405.0;45.3705;3.0;0.0;2012-01-23 00:00:00.000
34.0;83.0;2012-01-30 00:00:00.000;550.0;525.0;2.3205;550.0;550.0;2012-01-23 00:00:00.000
35.0;84.0;2012-01-30 00:00:00.000;550.0;526.0;3.6435;550.0;0.0;2012-01-23 00:00:00.000
36.0;85.0;2012-01-30 00:00:00.000;550.0;908.0;21.0945;468.0;0.0;2012-01-23 00:00:00.000
36.0;86.0;2012-01-30 00:00:00.000;550.0;909.0;30.4395;550.0;0.0;2012-01-23 00:00:00.000
36.0;87.0;2012-01-30 00:00:00.000;550.0;913.0;40.9395;550.0;0.0;2012-01-23 00:00:00.000
37.0;88.0;2012-01-30 00:00:00.000;60.0;356.0;3.6015;60.0;0.0;2012-01-23 00:00:00.000
37.0;89.0;2012-01-30 00:00:00.000;60.0;357.0;3.9795;60.0;0.0;2012-01-23 00:00:00.000
38.0;90.0;2012-01-30 00:00:00.000;550.0;935.0;31.4895;550.0;0.0;2012-01-23 00:00:00.000
38.0;91.0;2012-01-30 00:00:00.000;550.0;936.0;48.2895;550.0;0.0;2012-01-23 00:00:00.000
39.0;92.0;2012-01-30 00:00:00.000;550.0;524.0;12.9675;550.0;0.0;2012-01-23 00:00:00.000
40.0;93.0;2012-01-30 00:00:00.000;550.0;911.0;21.0945;550.0;0.0;2012-01-23 00:00:00.000
40.0;94.0;2012-01-30 00:00:00.000;550.0;912.0;30.4395;550.0;55.0;2012-01-23 00:00:00.000
41.0;95.0;2012-01-30 00:00:00.000;550.0;910.0;40.9395;550.0;0.0;2012-01-23 00:00:00.000
42.0;96.0;2012-01-30 00:00:00.000;550.0;937.0;62.9895;550.0;82.0;2012-01-23 00:00:00.000
43.0;97.0;2012-01-30 00:00:00.000;3.0;463.0;47.523;3.0;0.0;2012-01-23 00:00:00.000
43.0;98.0;2012-01-30 00:00:00.000;3.0;464.0;45.423;3.0;0.0;2012-01-23 00:00:00.000
43.0;99.0;2012-01-30 00:00:00.000;3.0;465.0;49.6965;3.0;0.0;2012-01-23 00:00:00.000
44.0;100.0;2012-01-30 00:00:00.000;3.0;462.0;47.6805;3.0;3.0;2012-01-23 00:00:00.000
45.0;101.0;2012-01-30 00:00:00.000;550.0;510.0;23.4045;550.0;0.0;2012-01-23 00:00:00.000
45.0;102.0;2012-01-30 00:00:00.000;550.0;511.0;27.867;523.0;0.0;2012-01-23 00:00:00.000
46.0;103.0;2012-01-30 00:00:00.000;550.0;527.0;6.7515;468.0;0.0;2012-01-23 00:00:00.000
47.0;104.0;2012-01-30 00:00:00.000;550.0;938.0;31.4895;550.0;0.0;2012-01-23 00:00:00.000
47.0;105.0;2012-01-30 00:00:00.000;550.0;939.0;48.2895;550.0;0.0;2012-01-23 00:00:00.000
47.0;106.0;2012-01-30 00:00:00.000;550.0;509.0;36.2775;550.0;0.0;2012-01-23 00:00:00.000
48.0;107.0;2012-01-30 00:00:00.000;60.0;492.0;50.7465;60.0;0.0;2012-01-23 00:00:00.000
48.0;108.0;2012-01-30 00:00:00.000;60.0;493.0;58.2645;60.0;0.0;2012-01-23 00:00:00.000
48.0;109.0;2012-01-30 00:00:00.000;60.0;494.0;50.7465;60.0;0.0;2012-01-23 00:00:00.000
48.0;110.0;2012-01-30 00:00:00.000;60.0;495.0;62.9265;60.0;0.0;2012-01-23 00:00:00.000
48.0;111.0;2012-01-30 00:00:00.000;60.0;496.0;49.6545;60.0;0.0;2012-01-23 00:00:00.000
49.0;112.0;2012-02-03 00:00:00.000;550.0;523.0;10.3845;550.0;0.0;2012-01-27 00:00:00.000
50.0;113.0;2012-02-03 00:00:00.000;3.0;422.0;47.6805;3.0;0.0;2012-01-27 00:00:00.000
50.0;114.0;2012-02-03 00:00:00.000;3.0;423.0;45.5805;3.0;0.0;2012-01-27 00:00:00.000
50.0;115.0;2012-02-03 00:00:00.000;3.0;424.0;49.854;3.0;0.0;2012-01-27 00:00:00.000
51.0;116.0;2012-02-03 00:00:00.000;3.0;490.0;12.7155;3.0;0.0;2012-01-27 00:00:00.000
51.0;117.0;2012-02-03 00:00:00.000;3.0;491.0;19.9395;3.0;0.0;2012-01-27 00:00:00.000
52.0;118.0;2012-02-03 00:00:00.000;3.0;528.0;38.157;3.0;0.0;2012-01-27 00:00:00.000
53.0;119.0;2012-02-07 00:00:00.000;3.0;505.0;44.2155;3.0;0.0;2012-01-31 00:00:00.000
54.0;120.0;2012-02-07 00:00:00.000;550.0;938.0;31.4895;550.0;550.0;2012-01-31 00:00:00.000
54.0;121.0;2012-02-07 00:00:00.000;550.0;939.0;48.2895;550.0;550.0;2012-01-31 00:00:00.000
55.0;122.0;2012-02-07 00:00:00.000;60.0;358.0;6.9825;60.0;0.0;2012-01-31 00:00:00.000
56.0;123.0;2012-02-07 00:00:00.000;3.0;375.0;43.2705;3.0;0.0;2012-01-31 00:00:00.000
56.0;124.0;2012-02-07 00:00:00.000;3.0;376.0;47.544;3.0;0.0;2012-01-31 00:00:00.000
56.0;125.0;2012-02-07 00:00:00.000;3.0;377.0;43.2705;3.0;0.0;2012-01-31 00:00:00.000
56.0;126.0;2012-02-07 00:00:00.000;3.0;378.0;41.1705;3.0;0.0;2012-01-31 00:00:00.000
57.0;127.0;2012-02-07 00:00:00.000;60.0;356.0;3.381;60.0;0.0;2012-01-31 00:00:00.000
57.0;128.0;2012-02-07 00:00:00.000;60.0;357.0;4.3155;60.0;0.0;2012-01-31 00:00:00.000
58.0;129.0;2012-02-07 00:00:00.000;3.0;375.0;43.2705;3.0;0.0;2012-01-31 00:00:00.000
58.0;130.0;2012-02-07 00:00:00.000;3.0;376.0;41.1705;3.0;0.0;2012-01-31 00:00:00.000
58.0;131.0;2012-02-07 00:00:00.000;3.0;377.0;45.444;3.0;0.0;2012-01-31 00:00:00.000
58.0;132.0;2012-02-07 00:00:00.000;3.0;378.0;41.1705;3.0;0.0;2012-01-31 00:00:00.000
58.0;133.0;2012-02-07 00:00:00.000;3.0;379.0;39.0705;3.0;0.0;2012-01-31 00:00:00.000
59.0;134.0;2012-02-07 00:00:00.000;3.0;490.0;12.3585;3.0;0.0;2012-01-31 00:00:00.000
60.0;135.0;2012-02-07 00:00:00.000;550.0;513.0;39.1965;550.0;0.0;2012-01-31 00:00:00.000
61.0;136.0;2012-02-07 00:00:00.000;3.0;403.0;45.444;3.0;0.0;2012-01-31 00:00:00.000
61.0;137.0;2012-02-07 00:00:00.000;3.0;404.0;41.1705;3.0;0.0;2012-01-31 00:00:00.000
61.0;138.0;2012-02-07 00:00:00.000;3.0;405.0;39.0705;3.0;0.0;2012-01-31 00:00:00.000
61.0;139.0;2012-02-07 00:00:00.000;3.0;406.0;43.344;3.0;0.0;2012-01-31 00:00:00.000
62.0;140.0;2012-02-07 00:00:00.000;550.0;931.0;34.8705;550.0;82.0;2012-01-31 00:00:00.000
62.0;141.0;2012-02-07 00:00:00.000;550.0;932.0;39.7635;550.0;0.0;2012-01-31 00:00:00.000
63.0;142.0;2012-02-07 00:00:00.000;3.0;422.0;47.6805;3.0;0.0;2012-01-31 00:00:00.000
63.0;143.0;2012-02-07 00:00:00.000;3.0;423.0;45.5805;3.0;0.0;2012-01-31 00:00:00.000
63.0;144.0;2012-02-07 00:00:00.000;3.0;424.0;49.854;3.0;0.0;2012-01-31 00:00:00.000
64.0;145.0;2012-02-07 00:00:00.000;3.0;341.0;47.5755;3.0;3.0;2012-01-31 00:00:00.000
64.0;146.0;2012-02-07 00:00:00.000;3.0;342.0;45.4755;3.0;3.0;2012-01-31 00:00:00.000
65.0;147.0;2012-02-07 00:00:00.000;550.0;931.0;34.3455;550.0;0.0;2012-01-31 00:00:00.000
65.0;148.0;2012-02-07 00:00:00.000;550.0;932.0;39.2385;523.0;0.0;2012-01-31 00:00:00.000
66.0;149.0;2012-02-07 00:00:00.000;3.0;341.0;47.4705;3.0;0.0;2012-01-31 00:00:00.000
66.0;150.0;2012-02-07 00:00:00.000;3.0;342.0;45.3705;3.0;0.0;2012-01-31 00:00:00.000
66.0;151.0;2012-02-07 00:00:00.000;3.0;343.0;49.644;3.0;0.0;2012-01-31 00:00:00.000
66.0;152.0;2012-02-07 00:00:00.000;3.0;344.0;45.3705;3.0;0.0;2012-01-31 00:00:00.000
67.0;153.0;2012-02-07 00:00:00.000;550.0;928.0;32.7705;550.0;0.0;2012-01-31 00:00:00.000
67.0;154.0;2012-02-07 00:00:00.000;550.0;929.0;37.086;550.0;0.0;2012-01-31 00:00:00.000
67.0;155.0;2012-02-07 00:00:00.000;550.0;930.0;43.0395;550.0;0.0;2012-01-31 00:00:00.000
68.0;156.0;2012-02-07 00:00:00.000;550.0;332.0;10.815;550.0;0.0;2012-01-31 00:00:00.000
69.0;157.0;2012-02-08 00:00:00.000;550.0;948.0;82.8345;550.0;0.0;2012-02-01 00:00:00.000
69.0;158.0;2012-02-08 00:00:00.000;550.0;907.0;82.8345;550.0;0.0;2012-02-01 00:00:00.000
70.0;159.0;2012-02-08 00:00:00.000;1250.0;325.0;0.21;1250.0;0.0;2012-02-01 00:00:00.000
70.0;160.0;2012-02-08 00:00:00.000;1250.0;326.0;0.21;1250.0;125.0;2012-02-01 00:00:00.000
71.0;161.0;2012-02-08 00:00:00.000;3.0;320.0;49.644;3.0;0.0;2012-02-01 00:00:00.000
71.0;162.0;2012-02-08 00:00:00.000;3.0;321.0;44.3205;3.0;0.0;2012-02-01 00:00:00.000
71.0;163.0;2012-02-08 00:00:00.000;60.0;322.0;28.6965;60.0;3.0;2012-02-01 00:00:00.000
72.0;164.0;2012-02-08 00:00:00.000;550.0;930.0;42.5145;550.0;82.0;2012-02-01 00:00:00.000
72.0;165.0;2012-02-08 00:00:00.000;550.0;921.0;5.586;550.0;0.0;2012-02-01 00:00:00.000
73.0;166.0;2012-02-23 00:00:00.000;60.0;952.0;15.7395;60.0;0.0;2012-02-16 00:00:00.000
74.0;167.0;2012-02-23 00:00:00.000;550.0;933.0;43.4595;550.0;550.0;2012-02-16 00:00:00.000
74.0;168.0;2012-02-23 00:00:00.000;550.0;934.0;37.6215;550.0;550.0;2012-02-16 00:00:00.000
75.0;169.0;2012-02-23 00:00:00.000;550.0;317.0;29.5785;550.0;0.0;2012-02-16 00:00:00.000
75.0;170.0;2012-02-23 00:00:00.000;550.0;318.0;36.099;523.0;0.0;2012-02-16 00:00:00.000
75.0;171.0;2012-02-23 00:00:00.000;550.0;319.0;48.5835;550.0;0.0;2012-02-16 00:00:00.000
76.0;172.0;2012-02-23 00:00:00.000;550.0;928.0;32.2455;468.0;0.0;2012-02-16 00:00:00.000
76.0;173.0;2012-02-23 00:00:00.000;550.0;929.0;36.561;550.0;0.0;2012-02-16 00:00:00.000
77.0;174.0;2012-02-23 00:00:00.000;550.0;319.0;46.4205;550.0;0.0;2012-02-16 00:00:00.000
78.0;175.0;2012-02-23 00:00:00.000;3.0;359.0;47.523;3.0;0.0;2012-02-16 00:00:00.000
78.0;176.0;2012-02-23 00:00:00.000;3.0;360.0;45.423;3.0;0.0;2012-02-16 00:00:00.000
78.0;177.0;2012-02-23 00:00:00.000;3.0;361.0;49.6965;3.0;0.0;2012-02-16 00:00:00.000
78.0;178.0;2012-02-23 00:00:00.000;3.0;362.0;45.423;3.0;0.0;2012-02-16 00:00:00.000
78.0;179.0;2012-02-23 00:00:00.000;3.0;363.0;43.323;3.0;0.0;2012-02-16 00:00:00.000
79.0;180.0;2012-02-23 00:00:00.000;3.0;2.0;41.916;3.0;0.0;2012-02-16 00:00:00.000
80.0;181.0;2012-02-23 00:00:00.000;3.0;1.0;50.2635;3.0;0.0;2012-02-16 00:00:00.000
81.0;182.0;2012-02-23 00:00:00.000;3.0;361.0;49.854;3.0;0.0;2012-02-16 00:00:00.000
81.0;183.0;2012-02-23 00:00:00.000;3.0;362.0;45.5805;3.0;0.0;2012-02-16 00:00:00.000
81.0;184.0;2012-02-23 00:00:00.000;3.0;363.0;43.4805;3.0;0.0;2012-02-16 00:00:00.000
81.0;185.0;2012-02-23 00:00:00.000;3.0;364.0;47.754;3.0;0.0;2012-02-16 00:00:00.000
82.0;186.0;2012-02-23 00:00:00.000;550.0;530.0;16.086;550.0;82.0;2012-02-16 00:00:00.000
83.0;187.0;2012-02-23 00:00:00.000;3.0;4.0;57.0255;3.0;0.0;2012-02-16 00:00:00.000
84.0;188.0;2012-02-23 00:00:00.000;550.0;512.0;37.086;550.0;550.0;2012-02-16 00:00:00.000
85.0;189.0;2012-02-23 00:00:00.000;550.0;513.0;26.5965;550.0;0.0;2012-02-16 00:00:00.000
86.0;190.0;2012-02-23 00:00:00.000;550.0;317.0;27.0585;468.0;0.0;2012-02-16 00:00:00.000
86.0;191.0;2012-02-23 00:00:00.000;550.0;318.0;33.579;550.0;0.0;2012-02-16 00:00:00.000
86.0;192.0;2012-02-23 00:00:00.000;550.0;319.0;46.0635;550.0;0.0;2012-02-16 00:00:00.000
87.0;193.0;2012-02-23 00:00:00.000;3.0;408.0;47.544;3.0;0.0;2012-02-16 00:00:00.000
87.0;194.0;2012-02-23 00:00:00.000;3.0;409.0;43.2705;3.0;0.0;2012-02-16 00:00:00.000
87.0;195.0;2012-02-23 00:00:00.000;3.0;410.0;41.1705;3.0;0.0;2012-02-16 00:00:00.000
87.0;196.0;2012-02-23 00:00:00.000;3.0;411.0;45.444;3.0;0.0;2012-02-16 00:00:00.000
87.0;197.0;2012-02-23 00:00:00.000;3.0;412.0;41.1705;3.0;0.0;2012-02-16 00:00:00.000
87.0;198.0;2012-02-23 00:00:00.000;3.0;413.0;39.0705;3.0;0.0;2012-02-16 00:00:00.000
88.0;199.0;2012-02-23 00:00:00.000;3.0;427.0;47.5965;3.0;0.0;2012-02-16 00:00:00.000
88.0;200.0;2012-02-23 00:00:00.000;3.0;428.0;43.323;3.0;0.0;2012-02-16 00:00:00.000
88.0;201.0;2012-02-23 00:00:00.000;3.0;429.0;41.223;3.0;0.0;2012-02-16 00:00:00.000
88.0;202.0;2012-02-23 00:00:00.000;3.0;430.0;45.4965;3.0;0.0;2012-02-16 00:00:00.000
88.0;203.0;2012-02-23 00:00:00.000;3.0;431.0;41.223;3.0;0.0;2012-02-16 00:00:00.000
89.0;204.0;2012-03-08 00:00:00.000;3.0;320.0;47.4705;3.0;0.0;2012-03-01 00:00:00.000
89.0;205.0;2012-03-08 00:00:00.000;3.0;321.0;42.798;3.0;0.0;2012-03-01 00:00:00.000
89.0;206.0;2012-03-08 00:00:00.000;60.0;322.0;25.4205;60.0;0.0;2012-03-01 00:00:00.000
90.0;207.0;2012-03-08 00:00:00.000;3.0;442.0;43.3965;3.0;0.0;2012-03-01 00:00:00.000
90.0;208.0;2012-03-08 00:00:00.000;3.0;443.0;39.123;3.0;0.0;2012-03-01 00:00:00.000
90.0;209.0;2012-03-08 00:00:00.000;3.0;444.0;37.023;3.0;0.0;2012-03-01 00:00:00.000
91.0;210.0;2012-03-08 00:00:00.000;550.0;941.0;62.9895;550.0;0.0;2012-03-01 00:00:00.000
92.0;211.0;2012-03-08 00:00:00.000;3.0;320.0;45.3705;3.0;0.0;2012-03-01 00:00:00.000
92.0;212.0;2012-03-08 00:00:00.000;3.0;321.0;40.488;3.0;0.0;2012-03-01 00:00:00.000
93.0;213.0;2012-03-12 00:00:00.000;3.0;504.0;48.762;3.0;0.0;2012-03-05 00:00:00.000
94.0;214.0;2012-03-12 00:00:00.000;3.0;497.0;34.188;3.0;3.0;2012-03-05 00:00:00.000
95.0;215.0;2012-03-12 00:00:00.000;3.0;323.0;50.2635;3.0;0.0;2012-03-05 00:00:00.000
96.0;216.0;2012-03-12 00:00:00.000;550.0;523.0;10.731;468.0;0.0;2012-03-05 00:00:00.000
96.0;217.0;2012-03-12 00:00:00.000;550.0;524.0;14.1225;550.0;0.0;2012-03-05 00:00:00.000
97.0;218.0;2012-03-22 00:00:00.000;60.0;492.0;50.2635;60.0;0.0;2012-03-15 00:00:00.000
97.0;219.0;2012-03-22 00:00:00.000;60.0;493.0;57.1515;60.0;0.0;2012-03-15 00:00:00.000
97.0;220.0;2012-03-22 00:00:00.000;60.0;494.0;53.2035;60.0;0.0;2012-03-15 00:00:00.000
97.0;221.0;2012-03-22 00:00:00.000;60.0;495.0;63.693;60.0;0.0;2012-03-15 00:00:00.000
97.0;222.0;2012-03-22 00:00:00.000;60.0;496.0;48.909;60.0;0.0;2012-03-15 00:00:00.000
98.0;223.0;2012-03-22 00:00:00.000;550.0;913.0;40.9395;550.0;0.0;2012-03-15 00:00:00.000
98.0;224.0;2012-03-22 00:00:00.000;550.0;914.0;21.0945;550.0;0.0;2012-03-15 00:00:00.000
98.0;225.0;2012-03-22 00:00:00.000;550.0;915.0;30.4395;550.0;0.0;2012-03-15 00:00:00.000
98.0;226.0;2012-03-22 00:00:00.000;550.0;916.0;40.9395;550.0;0.0;2012-03-15 00:00:00.000
99.0;227.0;2012-03-22 00:00:00.000;60.0;506.0;9.198;60.0;0.0;2012-03-15 00:00:00.000
100.0;228.0;2012-03-22 00:00:00.000;550.0;351.0;5.775;550.0;0.0;2012-03-15 00:00:00.000
100.0;229.0;2012-03-22 00:00:00.000;550.0;352.0;1.155;550.0;55.0;2012-03-15 00:00:00.000
100.0;230.0;2012-03-22 00:00:00.000;550.0;679.0;5.775;550.0;0.0;2012-03-15 00:00:00.000
101.0;231.0;2012-03-22 00:00:00.000;550.0;507.0;23.394;550.0;0.0;2012-03-15 00:00:00.000
101.0;232.0;2012-03-22 00:00:00.000;550.0;508.0;27.6465;550.0;0.0;2012-03-15 00:00:00.000
102.0;233.0;2012-03-22 00:00:00.000;550.0;355.0;1.365;550.0;82.0;2012-03-15 00:00:00.000
102.0;234.0;2012-03-22 00:00:00.000;550.0;940.0;62.9895;550.0;0.0;2012-03-15 00:00:00.000
103.0;235.0;2012-03-22 00:00:00.000;550.0;679.0;6.195;550.0;0.0;2012-03-15 00:00:00.000
104.0;236.0;2012-03-22 00:00:00.000;550.0;507.0;22.1655;550.0;550.0;2012-03-15 00:00:00.000
